,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
201,Muhammad Mokaev,Manel Kape,0,1,1,23,170.18,177.8,125,1.0,6,4,6,0,0,1.61,0.45,0.8,5.29,0.41,16,30,165.1,172.72,125,0.0,4,0,4,2,0,4.44,0.53,0.4,0.54,0.33,14,0,2,0,2,2
202,Oban Elliott,Preston Parsons,4,1,1,26,182.88,182.88,170,1.0,2,0,2,0,0,3.82,0.47,0.0,2.67,0.5,6,29,180.34,180.34,170,1.0,2,0,1,2,0,3.5,0.51,2.4,3.53,0.36,10,0,2,0,2,0
203,Modestas Bukauskas,Marcin Prachnio,6,1,1,30,190.5,198.12,205,1.0,3,0,0,4,1,3.21,0.42,0.2,0.38,0.66,15,36,190.5,187.96,205,1.0,4,0,1,5,0,5.57,0.54,0.0,0.15,0.2,20,0,2,1,3,1
204,Sam Patterson,Kiefer Crosbie,4,1,1,28,190.5,198.12,170,1.0,2,2,1,1,0,2.66,0.37,3.9,1.94,1.0,4,34,180.34,177.8,170,1.0,0,0,0,1,1,6.27,0.64,0.0,0.0,0.0,1,0,0,0,0,0
205,Mick Parkin,Lukasz Brzeski,7,1,1,28,193.04,200.66,265,1.0,4,1,4,0,0,4.91,0.52,0.3,1.49,0.41,10,32,193.04,198.12,236,1.0,2,1,1,3,0,4.9,0.5,0.5,0.46,0.5,13,0,3,0,1,0
206,Shauna Bannon,Alice Ardelean,0,0,1,30,165.1,165.1,115,1.0,0,0,0,1,1,4.37,0.41,0.0,0.0,0.0,3,32,160.02,157.48,115,1.0,0,0,0,0,0,4.97,0.45,0.0,1.0,0.4,0,0,0,0,0,0
207,Amanda Lemos,Virna Jandiroba,0,0,0,37,162.56,165.1,115,0.0,8,2,1,3,0,3.16,0.54,0.8,0.9,0.63,25,36,160.02,162.56,115,1.0,6,2,3,3,0,2.12,0.38,1.7,2.29,0.34,23,1,3,3,3,1
208,Steve Garcia,SeungWoo Choi,2,1,1,32,182.88,190.5,145,0.0,5,0,3,2,0,5.04,0.56,0.6,1.17,0.4,12,31,182.88,187.96,145,1.0,4,0,1,5,0,3.51,0.39,0.0,0.86,0.54,22,0,0,5,3,1
209,Kurt Holobaugh,Kaynan Kruschewsky,3,1,1,37,180.34,177.8,155,1.0,1,1,0,6,1,4.63,0.45,0.8,0.76,0.33,19,33,182.88,185.42,155,1.0,1,1,0,1,1,5.67,0.5,2.1,2.74,1.0,2,0,0,0,0,0
210,Cody Durden,Bruno Silva,0,1,1,33,170.18,170.18,125,0.0,5,0,0,3,1,3.35,0.5,0.9,4.36,0.5,20,34,162.56,165.1,125,1.0,3,1,3,2,0,3.32,0.48,0.2,2.26,0.28,14,1,4,1,0,2
211,Dooho Choi,Bill Algeo,2,1,1,33,177.8,177.8,145,1.0,3,0,0,3,3,4.41,0.53,0.8,0.75,0.37,13,35,182.88,185.42,145,1.0,5,1,0,5,1,5.88,0.51,0.1,1.03,0.5,26,0,0,3,3,1
212,JeongYeong Lee,Hyder Amil,2,1,1,28,177.8,185.42,145,1.0,4,1,4,0,0,2.84,0.52,0.5,0.93,0.66,8,34,175.26,177.8,145,1.0,2,0,2,0,0,6.31,0.57,1.9,0.64,0.33,5,1,2,1,1,1
213,Brian Kelleher,Cody Gibson,1,1,1,37,167.64,167.64,135,1.0,8,3,0,8,3,3.31,0.41,0.7,1.68,0.41,31,36,177.8,180.34,135,1.0,1,0,0,5,4,3.96,0.44,0.4,1.61,0.3,15,1,3,2,0,1
